folder,filename,title,author,has_title,is_duplicate,duplicate_of,duplicate_group
cdefects,cdefects_001.pdf,P-doped Tubular g-C3N4 with Surface Carbon Defects: Universal Synthesis and Enhanced Visible-light Photocatalytic Hydrogen Production,Shien Guo,True,False,,0
cdefects,cdefects_002.pdf,Engineering carbon-defects on ultrathin g-C3N4 allows one-pot output and dramatically boosts photoredox catalytic activity,Shuying Gao,True,False,,0
cdefects,cdefects_003.pdf,Ultrathin g-C3N4 with enriched surface carbon vacancies enables highly efficient photocatalytic nitrogen fixation,Yi Zhang,True,False,,0
cdefects,cdefects_004.pdf,Carbon vacancies improved photocatalytic hydrogen generation of g-C3N4 photocatalyst via magnesium vapor etching,Jinxin Li,True,False,,0
cdefects,cdefects_005.pdf,Nitrogen photofixation on holey g-C3N4 nanosheets with carbon vacancies under visible-light irradiation,Jianhua Ge,True,False,,0
cdefects,cdefects_006.pdf,Sulfur-doped g-C3N4 nanosheets with carbon vacancies_ General synthesis and improved activity for simulated solar-light photocatalytic nitrogen fixation,Shihai Cao,True,False,,13
cdefects,cdefects_007.pdf,Preparation of S-doped g-C3N4 with C vacancies using the desulfurized waste liquid extracting salt and its application for NOx removal,Liyuan Duan,True,False,,9
cdefects,cdefects_008.pdf,Carbon vacancy-induced enhancement of the visible light-driven photocatalytic oxidation of NO over g-C3N4 nanosheets,Yuhan Li,True,False,,0
cdefects,cdefects_009.pdf,Effective Photocatalytic H2O2 Production under Visible Light Irradiation at g-C3N4 Modulated by Carbon Vacancies,Shuna Li,True,False,,0
cdefects,cdefects_010.pdf,Carbon Vacancy Regulated Photoreduction of NO to N2 over Ultrathin g-C3N4 Nanosheets,Guohui Dong,True,False,,0
cdefects,cdefects_011.pdf,3D macropore carbon-vacancy g-C3N4 constructed using polymethylmethacrylate spheres for enhanced photocatalytic H2 evolution and CO2 reduction,Xuewen Wang,True,False,,0
cdefects,cdefects_012.pdf,"Carbon vacancy in C3N4 nanotube: electronic structure, photocatalysis mechanism and highly enhanced activity",Yuhan Li,True,False,,0
cdefects,cdefects_013.pdf,Robust Photocatalytic H2O2 Production over Inverse Opal g-C3N4 with Carbon Vacancy under Visible Light,Juying Lei; Bin Chen; Weijia Lv; Liang Zhou; Lingzhi Wang; Yongdi Liu; Jinlong Zhang,True,False,,0
cdefects,cdefects_014.pdf,H2+CO2 Synergistic Plasma Positioning Carboxyl Defects in g-C3N4 with Engineered Electronic Structure and Active Sites for Efficient Photocatalytic H2 Evolution,"Daqian Wang, Zhihao Zhang, Shuchuan Xu, Ying Guo, Shifei Kang and Xijiang Chang",True,False,,6
cdefects,cdefects_015.pdf,,,False,False,,0
cdefects,cdefects_016.pdf,,曾丹妮,False,False,,0
